CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Point Earned,Card_Type_Encoded,Geography_France,Geography_Germany,Geography_Spain,Engagement,Balance_to_Salary,Tenure_per_Age,High_Balance,Low_Balance,Risk_Score,Age_Balance,Tenure_Balance,CustomerCluster
619,0,42,2,0.0,1,1,1,101348.88,1,1,2,464,4,True,False,False,1,0.0,0.046511627906976744,0,0,0.98,0.0,0.0,4
608,0,41,1,83807.86,1,0,1,112542.58,0,1,3,456,4,False,False,True,1,0.7446702868346644,0.023809523809523808,0,0,0.97,3436122.2600000002,83807.86,3
502,0,42,8,159660.8,3,1,0,113931.57,1,1,3,377,4,True,False,False,0,1.401362226797833,0.18604651162790697,1,0,0.97,6705753.6,1277286.4,0
699,0,39,1,0.0,2,0,0,93826.63,0,0,5,350,2,True,False,False,0,0.0,0.025,0,0,0.0,0.0,0.0,3
850,0,43,2,125510.82,1,1,1,79084.1,0,0,5,425,2,False,False,True,1,1.5870349787760274,0.045454545454545456,1,0,0.0,5396965.260000001,251021.64,3
645,1,44,8,113755.78,2,1,0,149756.71,1,1,5,484,4,False,False,True,0,0.7595988213227887,0.17777777777777778,1,0,0.95,5005254.32,910046.24,1
822,1,50,7,0.0,2,1,1,10062.8,0,0,2,206,1,True,False,False,2,0.0,0.13725490196078433,0,0,0.0,0.0,0.0,2
376,0,29,4,115046.74,4,1,0,119346.88,1,1,2,282,4,False,True,False,0,0.9639613204692031,0.13333333333333333,1,0,0.98,3336355.46,460186.96,0
501,1,44,4,142051.07,2,0,1,74940.5,0,0,3,251,2,True,False,False,2,1.8954927510124564,0.08888888888888889,1,0,0.0,6250247.08,568204.28,3
684,1,27,2,134603.88,1,1,1,71725.73,0,0,3,342,2,True,False,False,1,1.8766208915421072,0.07142857142857142,1,0,0.0,3634304.7600000002,269207.76,3
528,1,31,6,102016.72,2,0,0,80181.12,0,0,3,264,2,True,False,False,0,1.2723125804106952,0.1875,1,0,0.0,3162518.32,612100.3200000001,3
497,1,24,3,0.0,2,1,0,76390.01,0,0,3,249,2,False,False,True,0,0.0,0.12,0,0,0.0,0.0,0.0,3
476,0,34,10,0.0,2,1,0,26260.98,0,0,3,119,1,True,False,False,0,0.0,0.2857142857142857,0,0,0.0,0.0,0.0,3
549,0,25,5,0.0,2,0,0,190857.79,0,0,3,549,3,True,False,False,0,0.0,0.19230769230769232,0,0,0.0,0.0,0.0,4
